page,category,title,url,status,owner,updateTiming,notes
ホーム,重要リンク,2026アジェンダシステム,https://agendasys.com/chitose/2026/index.html,掲載中,事務局,年度切替時,ログイン情報は掲載しない
ホーム,重要リンク,例会等出席スプレッドシート,https://docs.google.com/spreadsheets/d/1xWLeMHVNUXw3fnilWuUSuSBTP1ZMINmmlrMe7zrIcMk/edit?gid=99975116#gid=99975116,掲載中,事務局,年度切替時,
ホーム,重要リンク,理事会出席スプレッドシート,https://docs.google.com/spreadsheets/d/17fbtskEilGHakFUt2pikT1___R0w0HI66t6ennopsBg/edit?usp=sharing,掲載中,事務局,年度切替時,
ホーム,重要リンク,対外資料発番スプレッドシート,https://docs.google.com/spreadsheets/d/1gTIDDgYwLfu69TACrfNacYY9Y7woA_Wy27gi76YYeQ0/edit?usp=drivesdk,掲載中,事務局,年度切替時,
JCを学ぶ,まず最初に見る,まずはプラっと,https://www.jaycee.or.jp/mpf/,掲載中,研修担当,年1回,
JCを学ぶ,まず最初に見る,事業・活動情報,https://www.jaycee.or.jp/mpf/blog/tools/,掲載中,研修担当,年1回,
JCを学ぶ,まず最初に見る,JAYCEE Library,https://www.jaycee.or.jp/mpf/jaycee-library/,掲載中,研修担当,年1回,
JCを学ぶ,まず最初に見る,サポートステーション,https://www.jaycee.or.jp/mpf/support-station/,掲載中,研修担当,年1回,
JCを学ぶ,議案・事業構築,Gian Pocket,https://gian-pocket.com/,掲載中,研修担当,年1回,
JCを学ぶ,議案・事業構築,JCプログラム,https://jc-program.jp/,掲載中,研修担当,年1回,
JCを学ぶ,議案・事業構築,アワードライブラリー2025,https://www2.jaycee.or.jp/awards/2025/,掲載中,アワード担当,年度切替時,
JCを学ぶ,議案・事業構築,アワードライブラリー2026,https://www2.jaycee.or.jp/awards/2026/,掲載中,アワード担当,年度切替時,
JCを学ぶ,基本ルール,JCマークブランドガイドライン,https://www.jaycee.or.jp/mpf/wp-content/uploads/2023/09/a0651325520dcfcc778e1ec843cc830a.pdf,掲載中,研修担当,年1回,
JCを学ぶ,基本ルール,セレモニーブック,https://www.jaycee.or.jp/mpf/wp-content/uploads/2023/10/5858506284172a99bc8abfcf89161409.pdf,掲載中,研修担当,年1回,
JCを学ぶ,基本ルール,服装規定,https://www.jaycee.or.jp/mpf/wp-content/uploads/2026/02/dresschord.pdf,掲載中,研修担当,年1回,
JCを学ぶ,基本ルール,会議統一ルール,https://www.jaycee.or.jp/mpf/wp-content/uploads/2025/02/12.2025toitu_rule_ver7.pdf,掲載中,研修担当,年1回,
予定・出欠,出欠確認,委員会出欠,,リンク未設定,各委員会,決定後,委員会ごとの出欠管理方法を決めてから追加
予定・出欠,予定,年間予定,,リンク未設定,事務局,年度切替時,年間予定表または共有カレンダーを追加
資料置き場,資料,議事録,,リンク未設定,事務局,決定後,DriveフォルダURLを追加
資料置き場,資料,事業資料,,リンク未設定,各委員会,決定後,DriveフォルダURLを追加
資料置き場,資料,議案フォーマット,,リンク未設定,事務局,決定後,DriveファイルまたはフォルダURLを追加
資料置き場,資料,マニュアル,,リンク未設定,事務局,決定後,DriveフォルダURLを追加
資料置き場,資料,過去例会資料,,リンク未設定,事務局,決定後,DriveフォルダURLを追加
